area_type,availability,location,size,total_sqft,bath,balcony,price
3,19-Dec,Electronic City Phase II,2 BHK,1056,2.0,1.0,39.07
2,Ready To Move,Chikka Tirupathi,4 Bedroom,2600,5.0,3.0,120.0
0,Ready To Move,Uttarahalli,3 BHK,1440,2.0,3.0,62.0
3,Ready To Move,Lingadheeranahalli,3 BHK,1521,3.0,1.0,95.0
3,Ready To Move,Kothanur,2 BHK,1200,2.0,1.0,51.0
3,Ready To Move,Whitefield,2 BHK,1170,2.0,1.0,38.0
3,18-May,Old Airport Road,4 BHK,2732,4.0,2.0,204.0
3,Ready To Move,Rajaji Nagar,4 BHK,3300,4.0,2.0,600.0
3,Ready To Move,Marathahalli,3 BHK,1310,3.0,1.0,63.25
2,Ready To Move,Gandhi Bazar,6 Bedroom,1020,6.0,2.0,370.0
3,18-Feb,Whitefield,3 BHK,1800,2.0,2.0,70.0
2,Ready To Move,Whitefield,4 Bedroom,2785,5.0,3.0,295.0
3,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2.0,1.0,38.0
0,Ready To Move,Gottigere,2 BHK,1100,2.0,2.0,40.0
2,Ready To Move,Sarjapur,3 Bedroom,2250,3.0,2.0,148.0
3,Ready To Move,Mysore Road,2 BHK,1175,2.0,2.0,73.5
3,Ready To Move,Bisuvanahalli,3 BHK,1180,3.0,2.0,48.0
3,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3.0,3.0,60.0
3,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4.0,2.0,290.0
3,Ready To Move,Manayata Tech Park,2 BHK,1100,2.0,2.0,48.0
0,Ready To Move,Kengeri,1 BHK,600,1.0,1.0,15.0
3,19-Dec,Binny Pete,3 BHK,1755,3.0,1.0,122.0
2,Ready To Move,Thanisandra,4 Bedroom,2800,5.0,2.0,380.0
3,Ready To Move,Bellandur,3 BHK,1767,3.0,1.0,103.0
3,18-Nov, Thanisandra,1 RK,510,1.0,0.0,25.25
3,18-May,Mangammanapalya,3 BHK,1250,3.0,2.0,56.0
3,Ready To Move,Electronic City,2 BHK,660,1.0,1.0,23.1
0,20-Dec,Whitefield,3 BHK,1610,3.0,2.0,81.0
3,17-Oct,Ramagondanahalli,2 BHK,1151,2.0,2.0,48.77
3,Ready To Move,Electronic City,3 BHK,1025,2.0,1.0,47.0
3,19-Dec,Yelahanka,4 BHK,2100 - 2850,4.0,0.0,186.0
3,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,35.0
3,Ready To Move,Hebbal,3 BHK,1760,2.0,2.0,123.0
3,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3.0,3.0,57.39
0,Ready To Move,Kasturi Nagar,3 BHK,1925,3.0,2.0,125.0
3,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,36.0
3,Ready To Move,Electronics City Phase 1,2 BHK,1070,2.0,1.0,45.5
3,Ready To Move,Kundalahalli,3 BHK,1724,3.0,2.0,125.0
3,Ready To Move,Chikkalasandra,3 BHK,1290,2.0,2.0,56.12
0,Ready To Move,Uttarahalli,2 BHK,1143,2.0,2.0,45.0
0,Ready To Move,Murugeshpalya,2 BHK,1296,2.0,2.0,81.0
3,19-Dec,Sarjapur  Road,3 BHK,1254,3.0,2.0,38.0
3,Ready To Move,Ganga Nagar,1 BHK,600,1.0,0.0,38.0
2,Ready To Move,Yelahanka,1 Bedroom,660,1.0,0.0,48.0
3,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79
2,Ready To Move,HSR Layout,8 Bedroom,600,9.0,2.0,200.0
3,Ready To Move,Doddathoguru,2 BHK,970,2.0,0.0,33.0
3,20-Sep,Whitefield,2 BHK,1459,2.0,1.0,94.82
2,Ready To Move,KR Puram,2 Bedroom,800,1.0,1.0,130.0
0,Ready To Move,Himagiri Meadows,2 BHK,869,2.0,1.0,36.0
3,Ready To Move,Adarsh Nagar,2 BHK,1270,2.0,1.0,50.0
3,18-Mar,Bhoganhalli,3 BHK,1670,3.0,1.0,99.0
0,Ready To Move,Whitefield,3 BHK,2010,3.0,2.0,91.0
3,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2.0,2.0,75.0
3,Ready To Move,Yelahanka,3 BHK,1600,2.0,3.0,75.0
3,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,44.0
0,20-Feb,Devanahalli,4 Bedroom,3010 - 3410,2.0,2.0,192.0
3,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2.0,2.0,185.0
2,Ready To Move,Murugeshpalya,6 Bedroom,1407,4.0,1.0,150.0
3,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2.0,2.0,45.0
2,Ready To Move,Tharabanahalli,3 Bedroom,4395,3.0,2.0,240.0
3,Ready To Move,Ganga Nagar,2 BHK,845,2.0,1.0,55.0
2,Ready To Move,Whitefield,4 Bedroom,5700,5.0,3.0,650.0
